Year,Faculty,Department,Module,CalGroup,Activity,Group,Day,Period,Building,BuildingName,Room,Alloc,Capacity,Max,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2014,SCI,MEDICAL BIOSCIENCES,MIC353,SEM 1,Practical,1,THU,4,29,LIFE SCIENCE BUILDING,A1,0,110,110,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2014,SCI,MEDICAL BIOSCIENCES,MIC353,SEM 1,Practical,1,FRI,2,29,LIFE SCIENCE BUILDING,A1,0,110,110,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2014,SCI,MEDICAL BIOSCIENCES,MIC354,SEM 2,Lecture,1,MON,2,29,LIFE SCIENCE BUILDING,A1,0,110,110,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2014,SCI,MEDICAL BIOSCIENCES,MIC354,SEM 2,Lecture,1,TUE,3,29,LIFE SCIENCE BUILDING,A1,0,110,110,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2014,SCI,MEDICAL BIOSCIENCES,MIC354,SEM 2,Lecture,1,THU,1,29,LIFE SCIENCE BUILDING,A1,0,110,110,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2014,SCI,MEDICAL BIOSCIENCES,MIC354,SEM 2,Practical,1,TUE,5,29,LIFE SCIENCE BUILDING,A1,0,110,110,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2014,SCI,MEDICAL BIOSCIENCES,MIC354,SEM 2,Practical,1,TUE,6,29,LIFE SCIENCE BUILDING,A1,0,110,110,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2014,SCI,MEDICAL BIOSCIENCES,MIC354,SEM 2,Practical,1,THU,3,29,LIFE SCIENCE BUILDING,A1,0,110,110,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2014,SCI,MEDICAL BIOSCIENCES,MIC354,SEM 2,Practical,1,THU,4,29,LIFE SCIENCE BUILDING,A1,0,110,110,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2014,SCI,MEDICAL BIOSCIENCES,MIC354,SEM 2,Practical,1,FRI,2,29,LIFE SCIENCE BUILDING,A1,0,110,110,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2014,SCI,SCHOOL OF PHARMACY,PCL305,SEM1&2,Lecture,1,WED,1,107,SENATE BUILDING,S/HALL,0,200,200,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2014,SCI,SCHOOL OF PHARMACY,PCL305,SEM1&2,Lecture,1,WED,2,107,SENATE BUILDING,S/HALL,0,200,200,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2014,SCI,SCHOOL OF PHARMACY,PCL315,SEM 1,Lecture,1,MON,1,16,HUMAN ECOLOGY & NURSING,ME14,0,40,40,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2014,SCI,SCHOOL OF PHARMACY,PCL315,SEM 1,Lecture,1,TUE,1,16,HUMAN ECOLOGY & NURSING,ME14,0,40,40,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2014,SCI,SCHOOL OF PHARMACY,PCL315,SEM 1,Lecture,1,WED,1,16,HUMAN ECOLOGY & NURSING,ME14,0,40,40,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2014,SCI,SCHOOL OF PHARMACY,PHA116,SEM 1,Lecture,1,TUE,3,17,DENTISTRY PRE-CLINICAL,D13,0,110,110,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
